key,value
fhc.lang.es.items-needed,"""&aItems necesarios: &e[ITEMS]"""
fhc.lang.es.revive-success,"""&aHas revivido exitosamente a [NAME] usando [ITEM]!"""
fhc.lang.es.no-help-needed,"""&aNo hay jugadores que necesiten ayuda actualmente!"""
fhc.lang.en.items-required,"""&eItems required: &a[ITEMS]"""
fhc.lang.en.stats-title,"""&eStatistics for &a[NAME]&e:"""
fhc.lang.es.missing-items,"""&cNo tienes los items necesarios para revivir al jugador."""
fhc.lang.en.revive-success,"""&aYou have successfully revived [NAME] using [ITEM]!"""
test::count::xStarless_Skyx,6.0
fhc.lang.en.confirmation-expired-retry,"""&cThe confirmation time has expired. Use the command again."""
fhc.lang.en.registered-players,"""&eRegistered players in the system:"""
fhc.lang.en.confirmation-expired,"""&cThe confirmation time has expired."""
fhc.lang.es.no-permission,"""&cNo tienes permiso para usar este comando."""
fhc.lang.en.can-be-revived,"""&aYou can be revived if another player uses: &e/revive [NAME]"""
fhc.lang.en.death-broadcast,"""&e[NAME] &chas died and been banned for &e[DAYS] days&c. Someone can revive them with: &e/revive [NAME]"""
fhc.lang.es.death,"""&cHas muerto por &e[DEATHS]&c vez y has sido baneado por &e[DAYS] dias&c."""
fhc.lang.en.confirm-command,"""&eConfirm with &a/revive [NAME] &eto revive the player."""
fhc.lang.en.language-available,"""&eAvailable languages: &aen (English), es (Spanish)"""
fhc.lang.en.stats-status-banned,"""&7- Status: &cBanned (can be revived)"""
fhc.lang.en.player-never-joined,"""&7Tip: The player must have joined the server at least once."""
fhc.lang.es.confirm-cost,"""&eEsto te costara los siguientes items: &a[ITEMS]"""
fhc.player.language.c3d8395b-c127-4444-95b3-6874de11e85c,"""en"""
fhc.lang.es.stats-deaths,"""&7- Muertes totales: &c[DEATHS]"""
fhc.lang.es.death-broadcast,"""&e[NAME] &cha muerto y ha sido baneado por &e[DAYS] dias&c. Alguien puede revivirlo con: &e/revive [NAME]"""
fhc.lang.es.can-be-revived,"""&aPuedes ser revivido si otro jugador usa: &e/revive [NAME]"""
fhc.lang.en.usage-revive,"""&cCorrect usage: &e/revive <player>"""
fhc.player.language.0f3f9d6e-8d11-4c7e-82c5-4a8488da2800,"""en"""
fhc.lang.es.revive-broadcast,"""&e[PLAYER] &aha revivido a &e[NAME] &ausando &e[ITEM]&a!"""
fhc.lang.es.help-player-info,"""&e[NAME] &7- Muertes: &c[DEATHS] &7- Items necesarios: &a[ITEMS]"""
fhc.lang.en.no-help-needed,"""&aNo players currently need help!"""
fhc.lang.en.no-permission,"""&cYou don't have permission to use this command."""
fhc.lang.en.usage-language,"""&cCorrect usage: &e/fhclang <en|es>"""
fhc.lang.en.stats-status-active,"""&7- Status: &aActive"""
fhc.lang.es.usage-revive,"""&cUso correcto: &e/revive <jugador>"""
fhc.lang.es.player-unknown,"""&cNo conozco a este jugador. Asegurate de escribir el nombre correctamente."""
fhc.registered.players::*,"["""",""xstarless_skyx"",""moonbeammuffin""]"
fhc.lang.en.cannot-revive-self,"""&cYou cannot revive yourself."""
fhc.lang.en.reset-success,"""&aStatistics for &e[NAME] &ahave been reset."""
fhc.player.name.0f3f9d6e-8d11-4c7e-82c5-4a8488da2800,"""xStarless_Skyx"""
fhc.lang.en.language-changed,"""&aLanguage changed to: &e[LANG]"""
fhc.lang.es.items-required,"""&eItems requeridos: &a[ITEMS]"""
fhc.lang.es.confirm-timeout,"""&cTienes 20 segundos para confirmar."""
fhc.lang.es.cannot-revive-self,"""&cNo puedes revivir a ti mismo."""
fhc.lang.en.items-needed,"""&aItems needed: &e[ITEMS]"""
test::greeting,"""hello world"""
test::count::MoonbeamMuffin,2.0
fhc.lang.en.usage-reset,"""&cCorrect usage: &e/fhcreset <player>"""
fhc.lang.es.usage-reset,"""&cUso correcto: &e/fhcreset <jugador>"""
fhc.lang.en.confirm-revive,"""&eAre you sure you want to revive [NAME]?"""
fhc.player.name.c3d8395b-c127-4444-95b3-6874de11e85c,"""MoonbeamMuffin"""
fhc.lang.es.confirm-revive,"""&eEstas seguro que deseas revivir a [NAME]?"""
fhc.lang.es.confirmation-expired-retry,"""&cEl tiempo de confirmacion ha expirado. Usa el comando nuevamente."""
fhc.lang.es.language-available,"""&eIdiomas disponibles: &aen (English), es (Espanol)"""
fhc.lang.en.confirm-cost,"""&eThis will cost you the following items: &a[ITEMS]"""
fhc.lang.es.stats-title,"""&eEstadisticas de &a[NAME]&e:"""
fhc.lang.es.stats-status-banned,"""&7- Estado: &cBaneado (puede ser revivido)"""
fhc.lang.es.usage-language,"""&cUso correcto: &e/fhclang <en|es>"""
fhc.lang.en.revive-broadcast,"""&e[PLAYER] &ahas revived &e[NAME] &ausing &e[ITEM]&a!"""
fhc.lang.en.stats-deaths,"""&7- Total deaths: &c[DEATHS]"""
fhc.lang.es.language-changed,"""&aIdioma cambiado a: &e[LANG]"""
fhc.lang.es.reset-success,"""&aEstadisticas de &e[NAME] &ahan sido reseteadas."""
fhc.lang.es.registered-players,"""&eJugadores registrados en el sistema:"""
fhc.lang.es.help-needed-title,"""&c&lJugadores que necesitan ayuda:"""
fhc.player.uuid.xstarless_skyx,"""0f3f9d6e-8d11-4c7e-82c5-4a8488da2800"""
fhc.lang.en.missing-items,"""&cYou don't have the necessary items to revive the player."""
fhc.player.uuid.moonbeammuffin,"""c3d8395b-c127-4444-95b3-6874de11e85c"""
fhc.lang.es.player-never-joined,"""&7Tip: El jugador debe haber entrado al menos una vez al servidor."""
fhc.lang.en.help-player-info,"""&e[NAME] &7- Deaths: &c[DEATHS] &7- Items needed: &a[ITEMS]"""
fhc.lang.es.player-not-dead,"""&cEl jugador &e[NAME] &cya esta vivo o no ha muerto aun."""
test::list::*,"[""apple"",""carrot""]"
fhc.lang.es.confirmation-expired,"""&cEl tiempo de confirmacion ha expirado."""
fhc.lang.en.player-not-dead,"""&cThe player &e[NAME] &cis already alive or hasn't died yet."""
test::count,28.0
fhc.lang.en.player-unknown,"""&cI don't know this player. Make sure to spell the name correctly."""
fhc.lang.es.confirm-command,"""&eConfirma con &a/revive [NAME] &epara revivir al jugador."""
fhc.lang.es.stats-status-active,"""&7- Estado: &aActivo"""
fhc.lang.en.confirm-timeout,"""&cYou have 20 seconds to confirm."""
fhc.lang.en.death,"""&cYou have died for the &e[DEATHS]&c time and have been banned for &e[DAYS] days&c."""
fhc.lang.en.help-needed-title,"""&c&lPlayers who need help:"""
